"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UHTD7HE4","journalArticle","2020","Nguyen, Hung T.; Cano, Alberto; Vu, Tam; Dinh, Thang N.","Blocking Self-Avoiding Walks Stops Cyber-Epidemics: A Scalable GPU-Based Approach.","IEEE Transactions on Knowledge & Data Engineering","","10414347","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=143721607&site=ehost-live","Cyber-epidemics, the widespread of fake news or propaganda through social media, can cause devastating economic and political consequences. A common countermeasure against cyber-epidemics is to disable a small subset of suspected social connections or accounts to effectively contain the epidemics. An example is the recent shutdown of 125,000 ISIS-related Twitter accounts. Despite many proposed methods to identify such a subset, none are scalable enough to provide high-quality solutions in nowadays’ billion-size networks. To this end, we investigate the Spread Interdiction problems that seek the most effective links (or nodes) for removal under the well-known Linear Threshold model. We propose novel CPU-GPU methods that scale to networks with billions of edges, yet possess rigorous theoretical guarantee on the solution quality. At the core of our methods is an $O(1)$ O (1) -space out-of-core algorithm to generate a new type of random walks, called Hitting Self-avoiding Walks ($\mathsf{HSAW}$ HSAW s). Such a low memory requirement enables handling of big networks and, more importantly, hiding latency via scheduling of millions of threads on GPUs. Comprehensive experiments on real-world networks show that our algorithms provide much higher quality solutions and are several orders of magnitude faster than the state-of-the art. Comparing to the (single-core) CPU counterpart, our GPU implementations achieve significant speedup factors up to 177x on a single GPU and 338x on a GPU pair. [ABSTRACT FROM AUTHOR]","2020-07","2020-12-18 00:00:40","2020-12-18 00:00:40","","1263-1275","","7","32","","IEEE Transactions on Knowledge & Data Engineering","","","","","","","","","","","a9h","","EBSCOhost","","","","","","Approximation algorithms; FAKE news; GPUs; Graphics processing units; GRAPHICS processing units; Heuristic algorithms; HEURISTIC algorithms; Instruction sets; MAGNITUDE (Mathematics); PARALLEL algorithms; Partitioning algorithms; RANDOM walks; self-avoiding walks; Spread interdiction; Twitter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7M6NSCTT","journalArticle","2019","Paynter, Jessica; Luskin-Saxby, Sarah; Keen, Deb; Fordyce, Kathryn; Frost, Grace; Imms, Christine; Miller, Scott; Trembath, David; Tucker, Madonna; Ecker, Ullrich","Evaluation of a template for countering misinformation—Real-world Autism treatment myth debunking.","PLoS ONE","","19326203","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=134371441&site=ehost-live","Misinformation poses significant challenges to evidence-based practice. In the public health domain specifically, treatment misinformation can lead to opportunity costs or direct harm. Alas, attempts to debunk misinformation have proven sub-optimal, and have even been shown to “backfire”, including increasing misperceptions. Thus, optimized debunking strategies have been developed to more effectively combat misinformation. The aim of this study was to test these strategies in a real-world setting, targeting misinformation about autism interventions. In the context of professional development training, we randomly assigned participants to an “optimized-debunking” or a “treatment-as-usual” training condition and compared support for non-empirically-supported treatments before, after, and six weeks following completion of online training. Results demonstrated greater benefits of optimized debunking immediately after training; thus, the implemented strategies can serve as a general and flexible debunking template. However, the effect was not sustained at follow-up, highlighting the need for further research into strategies for sustained change. [ABSTRACT FROM AUTHOR]","2019-01-30","2020-12-18 00:00:41","2020-12-18 00:00:41","","1-13","","01","14","","PLoS ONE","","","","","","","","","","","a9h","","EBSCOhost","","Publisher: Public Library of Science","","","","Age groups; Autism; Autism spectrum disorder; Behavior; Biochemistry; Biology and life sciences; CAREER development; Children; COMMON fallacies; Communications; Complementary DNA; Developmental neuroscience; Developmental psychology; Diet; DNA; Expressed sequence tags; Families; Forms of DNA; Genetics; Medicine and health sciences; Neurodevelopmental disorders; Neurology; Neuroscience; Nucleic acids; Nutrition; ONLINE education; People and places; Pervasive developmental disorders; Population groupings; Professions; Psychology; Public and occupational health; PUBLIC health; Research Article; Social communication; Social sciences; Sociology; Teachers; TREATMENT of autism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X3DNY2MN","journalArticle","2018","Pacek, Lauren R.; McClernon, F. Joseph; Rass, Olga; Sweizter, Maggie M.; Johnson, Matthew W.","Perceived risk of developing smoking-related disease among persons living with HIV.","AIDS Care","","09540121","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=131257743&site=ehost-live","Perceived risk of smoking is associated with smoking status, interest in quitting, cessation attempts, and quit success. Research is needed to explore risk perceptions of developing smoking-related disease among persons living with HIV (PLWH). Data came from 267 HIV-positive smokers who completed an online survey assessing perceived health risks associated with (a) generic smoking status; (b) generic non-smoking status; (c) their own personal current smoking; and (d) a hypothetical situation in which they were a non-smoker. PLWH perceived greater risk associated with their current smoking versus hypothetical personal non-smoking (p’s < 0.001), and greater risks associated with generic smoking status compared with their current smoking (p’s < 0.001). Being on HIV medication (β = 0.65, 95% CI = 0.17, 1.12), interest in quitting smoking (β = 0.89, 95% CI = 0.45, 1.32), and having an HIV healthcare provider who has recommended cessation (β = 1.04, 95% CI = 0.42, 1.67) were positively associated with perceived risk of developing smoking-related diseases. Findings have implications for developing targeted interventions to correct misperceptions regarding the health risks of smoking among PLWH, a population at particular risk for smoking and smoking-related morbidity and mortality. [ABSTRACT FROM AUTHOR]","2018-10","2020-12-18 00:00:41","2020-12-18 00:00:41","","1329-1334","","10","30","","AIDS Care","","","","","","","","","","","a9h","","EBSCOhost","","Publisher: Routledge","","","","Amazon Mechanical Turk; ATTITUDE (Psychology); CONFIDENCE intervals; DISEASES; HEALTH status indicators; HIV; HIV seroconversion; INTERNET; PERCEPTION; PSYCHOLOGY of HIV-positive persons; RISK assessment; risk perception; RISK perception; Smoking; SMOKING; SMOKING cessation; SURVEYS; tobacco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N8P4MHBT","journalArticle","2020","Vivion, M.; Hennequin, C.; Verger, P.; Dubé, E.","Supporting informed decision-making about vaccination: an analysis of two official websites.","Public Health (Elsevier)","","00333506","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=141937865&site=ehost-live","To analyze the content of two official French-speaking websites that are used to inform the general public about recommended vaccines in France and Quebec. Qualitative content analysis. All pages that inform and educate parents regarding childhood vaccination were downloaded and analyzed according to evidence-informed risk communication metrics. A total of 32 webpages, 14 videos, and two infographics were included in the analysis. The following were the most frequent risk communication approaches: 'debunking common misconceptions about vaccination' or 'answering common questions about vaccines.' Harm and benefit information focused primarily on the risks of vaccine-preventable diseases and the risks of adverse events after immunization. Most materials used qualitative terminology to describe the risk (e.g., vaccines are among the safest tools, adverse events are rare). Very few materials provided numeric likelihood of harms and benefits. When numeric information was stated, they were only presenting the risks of the diseases or number of cases in an outbreak. The approaches used to debunk misconceptions generally focused on the myth itself rather than the correct information. Few materials used visual aids (e.g., graphics, pictures, icons arrays, etc.) to convey important information. It is often assumed that misinformation and rumors about vaccination found online is a leading cause of the increase in vaccine hesitancy. Existing communication materials could be improved to better align with best practices in risk communication. Given the availability of confusing and conflicting vaccine narratives, it is crucial that authoritative communication materials aim to build trust and support informed choices about vaccination. • Internet is increasingly used for health information, including vaccination. • Online vaccine misinformation is often blamed for the increase in vaccine hesitancy. • Vaccine-hesitant parents are looking for 'balanced' information on vaccines. • Public health websites may not address the needs of vaccine-hesitant parents. [ABSTRACT FROM AUTHOR]","2020-01","2020-12-18 00:00:41","2020-12-18 00:00:41","","112-119","","","178","","Public Health (Elsevier)","","","","","","","","","","","a9h","","EBSCOhost","","","","","","ACCESS to information; ACUTE diseases; AUDIOVISUAL materials; COMMUNICATION; CONTENT analysis; DECISION making; DISEASE risk factors; EDUCATION of parents; France; FRANCE; GRAPHIC arts; HEALTH; HEALTH attitudes; HEALTH education; HEALTH promotion; IMMUNIZATION; INFORMATION resources; LANGUAGE & languages; Official discourse; PUBLIC health; Qualitative analysis; QUALITATIVE research; Québec; QUEBEC (Province); SOCIAL support; Vaccination; Vaccine hesitancy; VACCINES; Websites; WORLD Wide Web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BBRQMTFV","journalArticle","2020","Murphy, Meggan; Nanadiego, Frances Anne; McCavera, Laura; Nichols, Cory; Kalekas, Paul; Wachs, Daliah","Assessing the Validity and Accuracy of Online Videos on Vaccine Health Risks.","Clinical Pediatrics","","00099228","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=142742922&site=ehost-live","Incongruent vaccination rates have been found in multiple US cities, one cause possibly being misleading information that is easily available on the internet through text and videos. Health care providers should be aware of the extent and content of online health information available to patients and their guardians to enhance the effectiveness of patient-physician communication. This study obtained data on vaccine-related YouTube videos and analyzed the videos' content. When misleading information was found in a video, the timing and specific type of misleading information was noted. More than two thirds of the YouTube videos contained some type of unreliable information regarding vaccine safety and effectiveness. Much of the information accessible to patients and parents vaccinating their children is misleading to a potentially dangerous extent. Health care providers should be aware of and able to provide clear counter-evidence to misleading information on YouTube in light of the findings. [ABSTRACT FROM AUTHOR]","2020-05","2020-12-18 00:00:41","2020-12-18 00:00:41","","458-466","","4/5","59","","Clinical Pediatrics","","","","","","","","","","","a9h","","EBSCOhost","","","","","","CONTENT analysis; HEALTH information services; health risks; MEASLES prevention; MEDICINE information services; MMR; MMR vaccines; OBSERVATION (Scientific method); RETROSPECTIVE studies; social media; SOCIAL media; TREATMENT effectiveness; vaccine; VACCINES; VIDEO recording; YouTube","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IWBABYMW","journalArticle","2019","Kertysova, Katarina","Artificial Intelligence and Disinformation: How AI Changes the Way Disinformation is Produced, Disseminated, and Can Be Countered.","Security & Human Rights","","18747337","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=141322561&site=ehost-live","This article explores the challenges and opportunities presented by advances in artificial intelligence (AI) in the context of information operations. The article first examines the ways in which AI can be used to counter disinformation online. It then dives into some of the limitations of AI solutions and threats associated with AI techniques, namely user profiling, micro-targeting, and deep fakes. Finally, the paper reviews a number of solutions that could help address the spread of AI-powered disinformation and improve the online environment. The article recognises that in the fight against disinformation, there is no single fix. The next wave of disinformation calls first and foremost for societal resilience. [ABSTRACT FROM AUTHOR]","2019","2020-12-18 00:00:41","2020-12-18 00:00:41","","55-81","","1-4","29","","Security & Human Rights","","","","","","","","","","","a9h","","EBSCOhost","","Publisher: Brill Academic Publishers","","","","algorithms; artificial intelligence; ARTIFICIAL intelligence; automated fact-checking; deep fakes; disinformation; DISINFORMATION; FAKE news; micro-targeting; profiling; social media","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99TY5JIV","journalArticle","2018","Bode, Leticia; Vraga, Emily K.","See Something, Say Something: Correction of Global Health Misinformation on Social Media.","Health Communication","","10410236","","http://search.ebscohost.com/login.aspx?direct=true&db=cms&AN=130021378&site=ehost-live","Social media are often criticized for being a conduit for misinformation on global health issues, but may also serve as a corrective to false information. To investigate this possibility, an experiment was conducted exposing users to a simulated Facebook News Feed featuring misinformation and different correction mechanisms (one in which news stories featuring correct information were produced by an algorithm and another where the corrective news stories were posted by other Facebook users) about the Zika virus, a current global health threat. Results show that algorithmic and social corrections are equally effective in limiting misperceptions, and correction occurs for both high and low conspiracy belief individuals. Recommendations for social media campaigns to correct global health misinformation, including encouraging users to refute false or misleading health information, and providing them appropriate sources to accompany their refutation, are discussed. [ABSTRACT FROM AUTHOR]","2018-09","2020-12-18 00:00:41","2020-12-18 00:00:41","","1131-1140","","9","33","","Health Communication","","","","","","","","","","","cms","","EBSCOhost","","Publisher: Taylor & Francis Ltd","","","","Algorithms; Common fallacies; Consumer attitudes; Ethics; Facebook (Web resource); Health attitudes; Management of medical records; Press; Social media; World health; Zika virus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CZ8SCXEV","journalArticle","2018","Gaumont, Noé; Panahi, Maziyar; Chavalarias, David","Reconstruction of the socio-semantic dynamics of political activist Twitter networks—Method and application to the 2017 French presidential election.","PLoS ONE","","19326203","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=131845212&site=ehost-live","Background:  Digital spaces, and in particular social networking sites, are becoming increasingly present and influential in the functioning of our democracies. In this paper, we propose an integrated methodology for the data collection, the reconstruction, the analysis and the visualization of the development of a country’s political landscape from Twitter data. Method:  The proposed method relies solely on the interactions between Twitter accounts and is independent of the characteristics of the shared contents such as the language of the tweets. We validate our methodology on a case study on the 2017 French presidential election (60 million Twitter exchanges between more than 2.4 million users) via two independent methods: the comparison between our automated political categorization and a human categorization based on the evaluation of a sample of 5000 profiles descriptions; the correspondence between the reconfigurations detected in the reconstructed political landscape and key political events reported in the media. This latter validation demonstrated the ability of our approach to accurately reflect the reconfigurations at play in the off-line political scene. Results:  We built on this reconstruction to give insights into the opinion dynamics and the reconfigurations of political communities at play during a presidential election. First, we propose a quantitative description and analysis of the political engagement of members of political communities. Second, we analyze the impact of political communities on information diffusion and in particular on their role in the fake news phenomena. We measure a differential echo chamber effect on the different types of political news (fake news, debunks, standard news) caused by the community structure and emphasize the importance of addressing the meso-structures of political networks in understanding the fake news phenomena. Conclusions:  Giving access to an intermediate level, between sociological surveys in the field and large statistical studies (such as those conducted by national or international organizations) we demonstrate that social networks data make it possible to qualify and quantify the activity of political communities in a multi-polar political environment; as well as their temporal evolution and reconfiguration, their structure, their alliance strategies and their semantic particularities during a presidential campaign through the analysis of their digital traces. We conclude this paper with a comment on the political and ethical implications of the use of social networks data in politics. We stress the importance of developing social macroscopes that will enable citizens to better understand how they collectively make society and propose as example the “Politoscope”, a macroscope that delivers some of our results in an interactive way. [ABSTRACT FROM AUTHOR]","2018-09-19","2020-12-18 00:00:41","2020-12-18 00:00:41","","1-38","","9","13","","PLoS ONE","","","","","","","","","","","a9h","","EBSCOhost","","Publisher: Public Library of Science","","","","Biology and life sciences; Communications; Community ecology; Community structure; Computer and information sciences; DATA analysis; Democracy; Ecology; Ecology and environmental sciences; Elections; ELECTIONS; Entropy; Europe; European Union; France; FRANCE; Geographical locations; Governments; Network analysis; People and places; Physical sciences; Physics; POLITICAL community; Political parties; Political science; PRESIDENTIAL elections; Research Article; Social communication; Social media; Social networks; Social sciences; Sociology; Thermodynamics; Twitter; TWITTER (Web resource)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P73WJ7J2","journalArticle","2020","Hameleers, Michael; Powell, Thomas E.; Van Der Meer, Toni G.L.A.; Bos, Lieke","A Picture Paints a Thousand Lies? The Effects and Mechanisms of Multimodal Disinformation and Rebuttals Disseminated via Social Media.","Political Communication","","10584609","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=142159930&site=ehost-live","Today's fragmented and digital media environment may create a fertile breeding ground for the uncontrolled spread of disinformation. Although previous research has investigated the effects of misinformation and corrective efforts, we know too little about the role of visuals in disinformation and fact checking. Against this backdrop, we conducted an online experiment with a diverse sample of U.S. citizens (N = 1,404) to investigate the credibility of textual versus multimodal (text-plus-visual) disinformation, and the effects of textual and multimodal fact checkers in refuting disinformation on school shootings and refugees. Our findings indicate that, irrespective of the source, multimodal disinformation is considered slightly more credible than textual disinformation. Fact checkers can help to overcome the potential harmful consequences of disinformation. We also found that fact checkers can overcome partisan and attitudinal filters – which points to the relevance of fact checking as a journalistic discipline. [ABSTRACT FROM AUTHOR]","2020-03","2020-12-18 00:00:41","2020-12-18 00:00:41","","281-301","","2","37","","Political Communication","","","","","","","","","","","a9h","","EBSCOhost","","","","","","DIGITAL media; disinformation; DISINFORMATION; fact checkers; FACT checking in politics; media credibility; media trust; misinformation; MULTIMODAL user interfaces; REBUTTAL evidence; SELECTIVE dissemination of information; SOCIAL media & politics; visual communication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D99MEXEM","journalArticle","2018","Su, Jinni; Hancock, Linda; Wattenmaker McGann, Amanda; Alshagra, Mariam; Ericson, Rhianna; Niazi, Zackaria; Dick, Danielle M.; Adkins, Amy","Evaluating the effect of a campus-wide social norms marketing intervention on alcohol-use perceptions, consumption, and blackouts.","Journal of American College Health","","07448481","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=128422176&site=ehost-live","<bold>Objective</bold>: To evaluate the effect of a campus-wide social norms marketing intervention on alcohol-use perceptions, consumption, and blackouts at a large, urban, public university. <bold>Participants</bold>: 4,172 college students (1,208 freshmen, 1,159 sophomores, 953 juniors, and 852 seniors) who completed surveys in Spring 2015 for the Spit for Science Study, a longitudinal study of students' substance use and emotional health. <bold>Methods</bold>: Participants were e-mailed an online survey that queried campaign readership, perception of peer alcohol use, alcohol consumption, frequency of consumption, and frequency of blackouts. Associations between variables were evaluated using path analysis. <bold>Results</bold>: We found that campaign readership was associated with more accurate perceptions of peer alcohol use, which, in turn, was associated with self-reported lower number of drinks per sitting and experiencing fewer blackouts. <bold>Conclusions</bold>: This evaluation supports the use of social norms marketing as a population-level intervention to correct alcohol-use misperceptions and reduce blackouts. [ABSTRACT FROM AUTHOR]","2018-04","2020-12-18 00:00:41","2020-12-18 00:00:41","","219-224","","3","66","","Journal of American College Health","","","","","","","","","","","a9h","","EBSCOhost","","Publisher: Taylor & Francis Ltd","","","","Alcohol use; ALCOHOL use; ALCOHOL-induced disorders; blackout; college students; COLLEGE students; DRINKING behavior; intervention; LONGITUDINAL method; MARKETING; MATHEMATICAL variables; PATH analysis (Statistics); PSYCHOLOGY; PSYCHOLOGY of college students; SELF-evaluation; social norms; SOCIAL norms; SURVEYS; WELL-being","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZLCZNFN","journalArticle","2018","Farrell, Alison","Accuracy of online discussion forums on common childhood ailments.","Journal of the Medical Library Association","","15365050","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=132210155&site=ehost-live","Objectives: The research sought to determine if the health advice provided in online discussion forms aimed at parents of young children is accurate and in agreement with evidence found in evidence-based resources and to discover whether or not these forums are an avenue for misinformation. Methods: To determine which online forums to use, Google was searched using five common childhood ailments. Forums that appeared five or more times in the first five pages of the Google search for each question were considered. Of these forums, those that met the inclusion criteria were used. Data from a sixmonth time period was collected and categorized from the discussion forums to analyze the advice being provided about common childhood ailments. Evidence-based resources were used to analyze the accuracy of the advice provided. Results: Two discussion forums were chosen for analysis. Seventy-four questions from one and 131 questions from the other were health related. Data were not analyzed together. Of the health-related questions on the 2 forums, 65.5% and 51.8%, respectively, provided some type of advice. Of the advice provided, 54.1% and 47.2%, respectively, agreed with the evidence provided in evidence-based resources. A further 16.2% and 6.3% was refuted or was somewhat refuted by the evidence found in evidence-based resources. Conclusion: While roughly half of the health-related advice provided in online discussion forums aimed at parents of young children is accurate, only a small portion of the advice is incorrect; therefore, these sources are not a major concern for the spread of misinformation. [ABSTRACT FROM AUTHOR]","2018-10","2020-12-18 00:00:41","2020-12-18 00:00:41","","455-463","","4","106","","Journal of the Medical Library Association","","","","","","","","","","","a9h","","EBSCOhost","","Publisher: University of Pittsburgh, University Library System","","","","CHILDREN'S health; COLD (Disease); CONTENT analysis; DEFECATION; DESCRIPTIVE statistics; ECZEMA; EDUCATION of parents; EXANTHEMATA; HEALTH information services; MEDICINE information services; QUESTIONNAIRES; SEARCH engines; SOCIAL media; WORLD Wide Web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q4TDK3KY","journalArticle","2020","JAN MEI SOON","Consumers' Awareness and Trust toward Food Safety News on Social Media in Malaysia.","Journal of Food Protection","","0362028X","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=143083348&site=ehost-live","Social media offers numerous advantages for personal users and organizations to communicate, socialize, and market their products. When used correctly, social media is an effective tool to communicate and to share food safety news and good practices. However, there have been reports of fake food safety news shared via social media, fueling panic and resulting in a loss of revenue. Thus, this study aimed to investigate the consumers' awareness, trust, and usage of social media in communicating food safety news in Malaysia. A questionnaire divided into five sections--(i) demographics, (ii) reaction to food safety news, (iii) consumers' awareness, (iv) social media truth and level of trust, and (v) social media uses and content creation--was created and shared online. A total of 341 questionnaires were returned of which 339 surveys were valid. This study revealed that less than one-third of the study group (27.1%) knew which of the food safety news were fake. Most respondents (67.8%) were less likely to purchase the affected foods if the foods were featured in social media as problematic, although no differences were made between true and fake news and how that would influence respondents' willingness to purchase affected foods. Overall, 62% of the respondents agreed or strongly agreed about the usage of social media and its ability to prevent food poisoning cases, while more than 50% of the respondents were in total agreement that social media allow consumers to act more responsibly by sharing food safety news. Respondents tended to trust information shared by scientists (67.5%) and family members and friends (33%). Respondents would most often share the news after verifying its authenticity (46%). If respondents experienced a personal food safety issue (e.g., discovered a fly in their meal), they seldom or never took photos to post online (56.1%). It is possible that the respondents preferred to inform the food handlers and/or shop owners about the affected products rather than post the photos online. It is suggested that targeted food safety information and media literacy be provided to improve consumers' awareness and to positively influence self-verification of the food safety information before sharing. This study provides crucial insights for a range of stakeholders, particularly public authorities, food bloggers, and the public, in using social media effectively to build consumers' awareness and trust in food safety information. [ABSTRACT FROM AUTHOR]","2020-03","2020-12-18 00:00:41","2020-12-18 00:00:41","","452-459","","3","83","","Journal of Food Protection","","","","","","","","","","","a9h","","EBSCOhost","","","","","","Fake news; FAKE news; FOOD poisoning; Food safety; FOOD safety; INFORMATION literacy; MALAYSIA; Social media; SOCIAL media; Trust","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SRBL3N53","journalArticle","2018","Mühlbauer, Viktoria; Prinz, Roman; Mühlhauser, Ingrid; Wegwarth, Odette","Alternative package leaflets improve people’s understanding of drug side effects—A randomized controlled exploratory survey.","PLoS ONE","","19326203","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=131740305&site=ehost-live","Background:  Current German and EU package leaflets (PLs) do not distinguish to what extent listed side effects are indeed side effects caused by drug intake or instead symptoms that occur regardless of drug use. We recently showed that most health professionals misinterpret the frequencies of listed side effects as solely caused by the drug. The present study investigated whether (1) these misinterpretations also prevail among laypeople and (2) alternative PLs reduce these misinterpretations. Methods:  In March 2017, 397 out of 400 laypeople approached completed an online survey. They were randomized to one of four PL formats: three alternative PLs (drug facts box with/without reading instruction, narrative format with numbers) and one standard PL. Each PL listed four side effects for a fictitious drug: two were presented as occurring more often, one as equally often, and one as less often with drug intake. The alternative formats (interventions) included information on frequencies with and without drug intake and included a statement on the causal relation. The standard PL (control) only included information on frequency ranges with drug intake. Questions were asked on general occurrence and causality of side effects. Results:  Participants randomized to the standard PL were unable to answer questions on causality. For side effects occurring more often (equally; less often) with drug intake, only 1.9% to 2.8% (equally: 1.9%; less often: 1.9%) provided correct responses about the causal nature of side effects, compared to 55.0% to 81.9% (equally: 23.8% to 70.5%; less often: 21.0% to 43.2%) of participants who received alternative PLs. It remains unclear whether one alternative format is superior to the others. Conclusion:  In conclusion, information on the frequency of side effects in current package leaflets is misleading. Comparative presentation of frequencies for side effects with and without drug intake including statements on the causal relation significantly improves understanding. [ABSTRACT FROM AUTHOR]","2018-09-13","2020-12-18 00:00:41","2020-12-18 00:00:41","","1-19","","9","13","","PLoS ONE","","","","","","","","","","","a9h","","EBSCOhost","","Publisher: Public Library of Science","","","","Adverse events; Adverse reactions; Anemia; Biology and life sciences; Clinical research design; Cognition; Cognitive psychology; Cognitive science; Decision making; Drug information; Drug research and development; DRUG side effects; DRUG utilization; Hematology; Hyperglycemia; MEDICAL personnel; Medicine and health sciences; Metabolic disorders; Neuroscience; Pharmacology; Psychology; RANDOMIZED controlled trials; Research and analysis methods; Research Article; Research design; Social sciences; Survey research; Surveys; SYMPTOMS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"523ZTXM4","journalArticle","2018","Potter, Gary R.; Chatwin, Caroline","Not particularly special: critiquing 'NPS' as a category of drugs.","Drugs: Education, Prevention & Policy","","09687637","","http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=129481742&site=ehost-live","Novel psychoactive substances (NPS) have been a dominant feature of drug discourse for many years now and, in academic, policy and public discourse, have become established as a new and by implication, distinct-category of drugs. We argue that this understanding of NPS is fundamentally problematic. Differences within the category are obscured, as are similarities between NPS and more established categories of drugs. Focusing on NPS as something new, different or particularly special is misleading and counterproductive and can have serious consequences in terms of understanding the bigger picture in relation to illegal drugs more generally. This has led to overestimations of the size of the NPS problem, obfuscation of the common underlying causes of dependent drug use and the implementation of significant and problematic policy changes. Furthermore, a failure to see the rise in NPS as just one of a number of emerging trends in contemporary drug scenes, alongside the development of online markets or the rise in domestic drug production operations, for example, impairs our ability to understand the wider societal, cultural and theoretical underpinnings of drug use. NPS are not particularly special: treating them as such can have dangerous and far-reaching consequences. [ABSTRACT FROM AUTHOR]","2018-08","2020-12-18 00:00:41","2020-12-18 00:00:41","","329-336","","4","25","","Drugs: Education, Prevention & Policy","","","","","","","","","","","a9h","","EBSCOhost","","Publisher: Taylor & Francis Ltd","","","","ACCESS to information; CLINICAL drug trials; drug policy; drugs; GOVERNMENT regulation; Novel psychoactive substances; POLICY sciences; PSYCHIATRIC drugs; SUBSTANCE abuse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
