Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Gultekin G., Koycu A., Buyuklu F., Bahcecitapar M.","56922350400;57039957100;8417375700;36176802200;","An Overlooked Landmark for the Crooked Nose: Eyebrow Position",2020,"Aesthetic Plastic Surgery","44","5",,"1718","1724",,,"10.1007/s00266-020-01786-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085523820&doi=10.1007%2fs00266-020-01786-z&partnerID=40&md5=0b36dde129dd58f9b5dd024d3ac9e06b","Department of Otolaryngology, Head and Neck Surgery, Faculty of Medicine, Baskent University, Bahcelievler Mh. Maresal Fevzi Cakmak Cad. 5. Sokak, No: 48, Ankara, 06490, Turkey; Department of Statistics, Faculty of Science, Hacettepe University, Cankaya, Ankara, 06800, Turkey","Gultekin, G., Department of Otolaryngology, Head and Neck Surgery, Faculty of Medicine, Baskent University, Bahcelievler Mh. Maresal Fevzi Cakmak Cad. 5. Sokak, No: 48, Ankara, 06490, Turkey; Koycu, A., Department of Otolaryngology, Head and Neck Surgery, Faculty of Medicine, Baskent University, Bahcelievler Mh. Maresal Fevzi Cakmak Cad. 5. Sokak, No: 48, Ankara, 06490, Turkey; Buyuklu, F., Department of Otolaryngology, Head and Neck Surgery, Faculty of Medicine, Baskent University, Bahcelievler Mh. Maresal Fevzi Cakmak Cad. 5. Sokak, No: 48, Ankara, 06490, Turkey; Bahcecitapar, M., Department of Statistics, Faculty of Science, Hacettepe University, Cankaya, Ankara, 06800, Turkey","Background: Rhinoplasty is one of the most unforgiving operations in facial plastic surgery. The correction of nasal deviation in an asymmetrical face can be challenging because known facial landmarks may mislead the surgeon. Eyebrows trimmed asymmetrically in an effort to create a more symmetrical facial appearance may be overlooked by surgeons. Objective: To define the relationship between the eyebrow position and external nasal deviation in patients with a crooked nose. Design, Setting, and Participants: Analysis was made of the preoperative and 6-month postoperative life-size photographs of female rhinoplasty patients who had been referred to the senior author’s clinic between May 2014 and June 2019. The anthropometric landmarks on the life-size photographs were identifed. The most medial points of the eyebrows and most deviated part of the nose were marked and the distance from the mid-canthal point was measured. Main Outcomes and Measure: The direction and amount of eyebrow shift were compared with the direction and amount of nasal deviation. Results: Of the total 94 female rhinoplasty patients with at least one level external nasal deviation, 67 (71.2%) had ipsilateral eyebrow shift with external nasal deviation. The preoperative external nasal deviation amount was 1.81 ± 1.21 mm and preoperative eyebrow shift was 1.18 ± 1.06 mm (rS = 0.429, p ' 0.001). The postoperative nasal deviation was 0.79 ± 0.92 mm, and the eyebrow shift was 0.54 ± 0.62 mm (rS = 0.570, p ' 0.001). Conclusion and Relevance: Patients may tend to trim their eyebrows towards the side of the external nasal deviation. After centralization of the crooked nose with rhinoplasty, asymmetric eyebrow shaping tendencies of the patients were also seen to be improved. Level of Evidence IV: This journal requires that authors assign a level of evidence to each article. For a full description of these Evidence-Based Medicine ratings, please refer to the Table of Contents or the online Instructions to Authors www.springer.com/00266. © 2020, Springer Science+Business Media, LLC, part of Springer Nature and International Society of Aesthetic Plastic Surgery.","Deviated nose; Eyebrows; Facial asymmetry","adult; article; centralization; evidence based medicine; eyebrow; face asymmetry; female; human; major clinical study; nose reconstruction; photography; preoperative evaluation; surgeon",Article,"Final","",Scopus,2-s2.0-85085523820
"Ali M., Kim Y.S., Khalid M.A.U., Soomro A.M., Lee J.-W., Lim J.-H., Choi K.H., Ho L.S.","56411148200;57195152947;57208837203;57208236070;57201152850;7403454051;56440589300;57219119201;","On-chip real-time detection and quantification of reactive oxygen species in MCF-7 cells through an in-house built fluorescence microscope",2020,"Microelectronic Engineering","233",, 111432,"","",,,"10.1016/j.mee.2020.111432","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091333904&doi=10.1016%2fj.mee.2020.111432&partnerID=40&md5=f5ef200e0bcd76c954884aa3b6bd3b84","Department of Mechatronics Engineering, Jeju National University, Jeju, South Korea; BioSpero, Inc., Jeju–do, South Korea; Bio PD, Office of Strategic R&D Planning, 305, Teheran-ro, Gangnam-gu, Seoul, South Korea","Ali, M., Department of Mechatronics Engineering, Jeju National University, Jeju, South Korea; Kim, Y.S., Department of Mechatronics Engineering, Jeju National University, Jeju, South Korea; Khalid, M.A.U., Department of Mechatronics Engineering, Jeju National University, Jeju, South Korea; Soomro, A.M., Department of Mechatronics Engineering, Jeju National University, Jeju, South Korea; Lee, J.-W., Department of Mechatronics Engineering, Jeju National University, Jeju, South Korea; Lim, J.-H., Department of Mechatronics Engineering, Jeju National University, Jeju, South Korea; Choi, K.H., Department of Mechatronics Engineering, Jeju National University, Jeju, South Korea, BioSpero, Inc., Jeju–do, South Korea; Ho, L.S., Bio PD, Office of Strategic R&D Planning, 305, Teheran-ro, Gangnam-gu, Seoul, South Korea","Reactive oxygen species (ROS) are formed by several different reactions and play a major role in cell cycling and as a messenger in normal cell transduction and have diverse biological effects when high in concentration. ROS may trigger DNA damage, cell mutation, inflammation, cell proliferation, and ultimately they may induce carcinogenesis. This study aims to design, fabricate, and develop a novel on-chip ROS detection based on mounted in-house built fluorescence microscope in microfluidics, which has not been reported previously. An in-house 3D printed built digital portable fluorescence type microscope for on-chip ROS detection has been developed. The combined use of the fluorescence microscope and a glass-based microfluidic chip both enabled to provide high-quality images of the living cells with ease of controlling and handling of the biological sample. As an evidence of the fluorescence microscope, breast cancer cells were loaded with 2′,7′-dichlorofluorescein diacetate (DCFDA, 50 μM) for 45 min on-chip which produces green fluorescence upon reaction with intracellular ROS. Fluorescence of the MCF-7 cells has been captured to obtain a profile of ROS generation for 1 day. LabVIEW 2019 was used along with its high-performance image analysis and IMAQ Vision tools. The viability of the cells was performed by LIVE/DEAD assay and Luna cell counter. The developed platform provides real-time monitoring and quantification of ROS. A strong linear correlation between concentrations versus fluorescence has been recorded. This result recommends that the current microfluidic chip provides an in-vitro platform for the assessment of cell cycle progression and evaluation of the variety of drugs. © 2020 Elsevier B.V.","DCFDA; Fluorescence microscopy; MCF-7 cells; Microfluidic chip; Real-time monitoring","3D printers; Cell proliferation; Fluidic devices; Microfluidics; Microscopes; Oxygen; Pathology; Quality control; Reactive oxygen species; Signal detection; Biological effects; Biological samples; Breast cancer cells; Cell-cycle progression; Dichlorofluorescein; High quality images; Real time monitoring; Real-time detection; Fluorescence",Article,"Final","",Scopus,2-s2.0-85091333904
"Wei J.-H., Liao J.-F., Wang X.-D., Zhou L., Jiang Y., Kuang D.-B.","57207736148;57193156200;57216497893;57218645616;56337276600;12760737600;","All-Inorganic Lead-Free Heterometallic Cs4MnBi2Cl12 Perovskite Single Crystal with Highly Efficient Orange Emission",2020,"Matter","3","3",,"892","903",,7,"10.1016/j.matt.2020.05.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089883471&doi=10.1016%2fj.matt.2020.05.018&partnerID=40&md5=e06ca2b8c655c0e65752eca4a0e10067","MOE Key Laboratory of Bioinorganic and Synthetic Chemistry, Lehn Institute of Functional Materials, School of Chemistry, Sun Yat-sen University, Guangzhou, 510275, China","Wei, J.-H., MOE Key Laboratory of Bioinorganic and Synthetic Chemistry, Lehn Institute of Functional Materials, School of Chemistry, Sun Yat-sen University, Guangzhou, 510275, China; Liao, J.-F., MOE Key Laboratory of Bioinorganic and Synthetic Chemistry, Lehn Institute of Functional Materials, School of Chemistry, Sun Yat-sen University, Guangzhou, 510275, China; Wang, X.-D., MOE Key Laboratory of Bioinorganic and Synthetic Chemistry, Lehn Institute of Functional Materials, School of Chemistry, Sun Yat-sen University, Guangzhou, 510275, China; Zhou, L., MOE Key Laboratory of Bioinorganic and Synthetic Chemistry, Lehn Institute of Functional Materials, School of Chemistry, Sun Yat-sen University, Guangzhou, 510275, China; Jiang, Y., MOE Key Laboratory of Bioinorganic and Synthetic Chemistry, Lehn Institute of Functional Materials, School of Chemistry, Sun Yat-sen University, Guangzhou, 510275, China; Kuang, D.-B., MOE Key Laboratory of Bioinorganic and Synthetic Chemistry, Lehn Institute of Functional Materials, School of Chemistry, Sun Yat-sen University, Guangzhou, 510275, China","Mn2+-doped luminescent metal halide perovskite has recently aroused tremendous research interest by virtue of the color tunability and low-cost synthetic procedure. However, the Mn2+-doping amount should be strictly controlled to evade the side effects (e.g., phase degradation or photoluminescence quenching), which will further lead to low lab-to-lab or people-to-people reproducibility. Fabricating heterometallic perovskite has been anticipated to produce new electronic and optical functionalities because of the interaction between mixed polyhedrons in a single phase. Here, a novel lead-free all-inorganic perovskite, Cs4MnBi2Cl12, with two-dimensional structure was synthesized, in which [BiCl6]3− acted as the sensitizer to enhance the light-absorption ability and further boost the activation of electrons in d orbitals of Mn2+. © 2020 Elsevier Inc.A novel lead-free all-inorganic perovskite single crystal, Cs4MnBi2Cl12, with two-dimensional structure is synthesized, in which [BiCl6]3− acts as the efficient sensitizer to enhance the light absorption and further boost the activation of electrons in d orbitals of Mn2+. © 2020 Elsevier Inc.A luminescent all-inorganic manganese-bismuth heterometallic Cs4MnBi2Cl12 perovskite single crystal has been synthesized with a [BiCl6]3−-[MnCl6]4−-[BiCl6]3− triple-layered two-dimensional structure. Benefit from the effective energy transfer from [BiCl6]3− octahedron donor to luminescent [MnCl6]4− acceptor, Cs4MnBi2Cl12 shows a photoluminescence quantum yield (PLQY) of up to 25.7% (~610 nm), 51-fold higher than the Bi unalloyed CsMnCl3·2H2O counterpart. Suggested by the theoretical calculations, Bi and Mn exhibit hybridization in conduction and valence band, which further results in a favorable low activation energy for exciton transfer (~23 meV). By virtue of all-inorganic chemical composition, Cs4MnBi2Cl12 exhibits impressive stability toward moisture, light, and heat. Furthermore, Cs4MnBi2Cl12 features strong soft X-ray attenuation and bright radiative luminescence under X-ray excitation, which pave a way for its application in medical flat-panel X-ray digital radiography. This work presents a new avenue toward fabrication of function-directed material with tailored photoelectric properties. © 2020 Elsevier Inc.","Cs4MnBi2Cl12; lead-free perovskite; MAP1: Discovery; photoluminescence; scintillator; single crystal","Activation energy; Bismuth compounds; Chemical stability; Chromium compounds; Crystal structure; Energy transfer; Inorganic chemicals; Light; Light absorption; Manganese compounds; Metal halides; Perovskite; Photoluminescence; Single crystals; X ray radiography; X rays; Optical functionalities; Photoelectric property; Photoluminescence quantum yields; Photoluminescence quenching; Radiative luminescence; Theoretical calculations; Two-dimensional structures; X ray digital radiography; Chlorine compounds",Article,"Final","",Scopus,2-s2.0-85089883471
"Ram A., Galav R.K.","35100936200;57220188820;","Detection and identification of bogus profiles in online social network using machine learning methods",2020,"European Journal of Molecular and Clinical Medicine","7","4",,"395","400",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097208939&partnerID=40&md5=a752101ca4031159edf7590b1a98df4b","Department of Computer Engineering and Application, GLA University, Mathura, India","Ram, A., Department of Computer Engineering and Application, GLA University, Mathura, India; Galav, R.K., Department of Computer Engineering and Application, GLA University, Mathura, India","Here current creation online social networks (OSNs) become more and more common and the social life of people has become more linked to these pages. They use OSNs to remain in finger with everyone else, distribute news, prepare dealings and still run their personal e-. Out of control of the OSN's evolution and the huge extent of their supporters 'individual developments, they have been attackers and impostors who take individual information, share fake news and disseminate vindictive exercises. Researchers in various fields began inspecting environmentally friendly techniques in order to perform abnormal activity and counterfeit money that is based on accounting and classification algorithms [1]. However, the use of stand-alone classification algorithms no longer yields a straightforward outcome, some of the factors that are manipulated by the account have a low influence or have no impact in the closing results. The paper proposes to use the SVM-NN as a modern algorithm to effectively identify suspected Twitter accounts and bots, to add four choices and to restrict measurements. Three laptop classification mastering algorithms were used to determine the actual or false identity of target accounts. They included the SVM, the Neural Network and our recently urbanized SVM-NN method that utilizes far less hardware but is still able to correctly identify about 98% of the money due to the training data set. © 2020 Ubiquity Press. All rights reserved.","Attackers; Classifications; Malicious behavior; Neural networks; Reduction techniques; Social networks; Support vector machine",,Article,"Final","",Scopus,2-s2.0-85097208939
"Gallo F.R., Simari G.I., Martinez M.V., Falappa M.A.","57195612740;16069445100;57195288338;6506943804;","Predicting user reactions to Twitter feed content based on personality type and social cues",2020,"Future Generation Computer Systems","110",,,"918","930",,1,"10.1016/j.future.2019.10.044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075402220&doi=10.1016%2fj.future.2019.10.044&partnerID=40&md5=614c7473265a103a1c2bc1cb2b9cb084","Department of Computer Science and Engineering, Universidad Nacional del Sur (UNS), and Institute for Computer Science and Engineering (UNS–CONICET) San Andres 800, Campus Palihue, (8000) Bahia Blanca, Argentina; School of Computing, Informatics, and Decision Systems Engineering (CIDSE), Arizona State University, Tempe, AZ  85281, United States; Department of Computer Science, Universidad de Buenos Aires (UBA), and Institute for Computer Science Research (UBA–CONICET), (C1428EGA) Ciudad Autonoma de Buenos Aires, Argentina","Gallo, F.R., Department of Computer Science and Engineering, Universidad Nacional del Sur (UNS), and Institute for Computer Science and Engineering (UNS–CONICET) San Andres 800, Campus Palihue, (8000) Bahia Blanca, Argentina; Simari, G.I., Department of Computer Science and Engineering, Universidad Nacional del Sur (UNS), and Institute for Computer Science and Engineering (UNS–CONICET) San Andres 800, Campus Palihue, (8000) Bahia Blanca, Argentina, School of Computing, Informatics, and Decision Systems Engineering (CIDSE), Arizona State University, Tempe, AZ  85281, United States; Martinez, M.V., Department of Computer Science, Universidad de Buenos Aires (UBA), and Institute for Computer Science Research (UBA–CONICET), (C1428EGA) Ciudad Autonoma de Buenos Aires, Argentina; Falappa, M.A., Department of Computer Science and Engineering, Universidad Nacional del Sur (UNS), and Institute for Computer Science and Engineering (UNS–CONICET) San Andres 800, Campus Palihue, (8000) Bahia Blanca, Argentina","The events in the past few years clearly indicate that the modern social, political and economical landscapes are heavily influenced by how information flows through social networks. For instance, the recent outcomes of the US presidential elections and the Brexit vote show that misinformation and otherwise influencing content can affect events of great importance. In this paper, we adopt a simplified version of the recently proposed Network Knowledge Base (NKB) model to tackle the problem of predicting basic actions that a user can take given the content of their social media feeds: either take action (by reusing content seen in their feeds or creating new one), or otherwise take no action. We propose processing raw data obtained from social media based on the framework defined by the NKB model, and then formulate an action/no action prediction task that takes as input five features (including the user's personality type and other social cues), and then go on to show—via an extensive empirical evaluation with real-world Twitter data—that machine learning classification algorithms can be successfully applied in this setting to make predictions about user reactions. The main result obtained is that, out of the features considered, personality type based on the Big-5 (also known as OCEAN) model is the most impactful; furthermore, though the rest of the features taken individually do not have a significant impact, the best results are obtained when they are all taken together. This is a first step in applying the NKB model towards understanding the effect of pathogenic social media phenomena such as fake news, how they spread via cascades, and how to counteract their ill effects. © 2019 Elsevier B.V.","Hybrid artificial intelligence models; Social knowledge bases; Social networks","Data handling; Forecasting; Knowledge based systems; Machine learning; Empirical evaluations; Hybrid artificial intelligences; Information flows; Machine learning classification; Network knowledge; Personality types; Presidential election; Social Knowledge; Social networking (online)",Article,"Final","",Scopus,2-s2.0-85075402220
"Vraga E.K., Jacobsen K.H.","35369308400;26029163100;","Strategies for Effective Health Communication during the Coronavirus Pandemic and Future Emerging Infectious Disease Events",2020,"World Medical and Health Policy","12","3",,"233","241",,1,"10.1002/wmh3.359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088649549&doi=10.1002%2fwmh3.359&partnerID=40&md5=44d156d297e4760ce27915f63ec36367","Hubbard School of Journalism, the University of Minnesota, United States; George Mason University., United States","Vraga, E.K., Hubbard School of Journalism, the University of Minnesota, United States; Jacobsen, K.H., George Mason University., United States","An emerging infectious disease event like the coronavirus (COVID-19) pandemic demands careful communication of public health messages to diverse audiences. However, misinformation is easily generated and amplified when a rapidly evolving epidemiological situation is coupled with gaps in scientific knowledge about a novel pathogen. Groups involved in health policy research, advocacy, implementation, and enforcement must be aware of three key challenges as they develop and apply communication strategies during emergencies: (i) information overload, (ii) information uncertainty, and (iii) misinformation. These challenges can be countered by accurately communicating core messages to specific audiences, being transparent about the evidence base for recommendations and open about the likelihood that guidelines may change as scientific discoveries are made, and identifying which myths and conspiracy theories circulating on social media are so harmful that they must be directly countered. Data analytics can assist with the process of monitoring and evaluating the impact of organizational communications. © 2020 Policy Studies Organization","coronavirus; health communication; misinformation","Article; coronavirus disease 2019; decision making; health care policy; health education; human; information dissemination; interpersonal communication; medical information; misinformation; pandemic; priority journal; public health; social media",Article,"Final","",Scopus,2-s2.0-85088649549
"Almomani H., Al-Qur'an W.","55892604700;57217859449;","The extent of people's response to rumors and false news in light of the crisis of the Corona virus [L'ampleur de la réaction des gens aux rumeurs et aux fausses nouvelles à la lumière de la crise du virus Corona]",2020,"Annales Medico-Psychologiques","178","7",,"684","689",,,"10.1016/j.amp.2020.06.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087707334&doi=10.1016%2fj.amp.2020.06.011&partnerID=40&md5=651c238f2936addd38d0630b89e91fa4","Department of Industrial Engineering, Faculty of Engineering, The Hashemite University, Zarqa, 13133, Jordan","Almomani, H., Department of Industrial Engineering, Faculty of Engineering, The Hashemite University, Zarqa, 13133, Jordan; Al-Qur'an, W., Department of Industrial Engineering, Faculty of Engineering, The Hashemite University, Zarqa, 13133, Jordan","Background: With the spread of the Corona virus globally, the negative effects increased at all levels, especially the economic and social sectors. The situation was made worse by the spread of rumors and false information about what this virus is and ways to prevent it. Objective: Test how people interact with different information circulating through social media and online platforms. Methods: The DATA was taken from a survey conducted in 2020 on 1500 quarantined people between the ages 18-60 years old. A questionnaire was created containing most of the rumors and false information circulated, in addition to the correct information with a reliable source. The results were analyzed in the form of tables showing the proportions of supporters and opponents and expressed in numbers and percentages. Results: A total of 2000 quarantined people participated in the study with the mean age (30.35 ± 9.9 years). Where the response rate is 100%. The analysis showed a large percentage of support for health protections against the Corona virus, and a large rejection of most of the fake information and rumors circulating across the Internet platforms, in addition to their solidarity within the principles of social responsibility. Conclusion: The extent of the spread of rumors and false information is decreasing based on the presence of governments and the competent authorities through their official platforms within the mechanism of fighting against the Corona virus, and also taking advantage of the current mistakes to be a shield in the future in dealing with such crises. © 2020 Elsevier Masson SAS","Coronavirus; Crises; Interacting; People; Rumors; Social Media","adult; article; controlled study; Coronavirinae; government; human; human experiment; Internet; nonhuman; prophylaxis; questionnaire; social media; social responsibility; young adult",Article,"Final","",Scopus,2-s2.0-85087707334
"Lazard A.J., Byron M.J., Peters E., Brewer N.T.","56072948400;57055427900;7203065569;7005054371;","Communicating about chemicals in cigarette smoke: Impact on knowledge and misunderstanding",2020,"Tobacco Control","29","5",,"556","563",,4,"10.1136/tobaccocontrol-2018-054863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071774448&doi=10.1136%2ftobaccocontrol-2018-054863&partnerID=40&md5=bddf77fef0716e155109e4010a4d4ad9","School of Media and Journalism, University of North Carolina, Chapel Hill, NC, United States; Lineberger Comprehensive Cancer Center, University of North Carolina, Chapel Hill, NC, United States; Department of Health Behavior, Gillings School of Global Public, University of North Carolina, Chapel Hill, NC, United States; Family Medicine, School of Medicine, University of North Carolina, Chapel Hill, NC, United States; Psychology, Ohio State University, Columbus, OH, United States","Lazard, A.J., School of Media and Journalism, University of North Carolina, Chapel Hill, NC, United States, Lineberger Comprehensive Cancer Center, University of North Carolina, Chapel Hill, NC, United States; Byron, M.J., Lineberger Comprehensive Cancer Center, University of North Carolina, Chapel Hill, NC, United States, Department of Health Behavior, Gillings School of Global Public, University of North Carolina, Chapel Hill, NC, United States, Family Medicine, School of Medicine, University of North Carolina, Chapel Hill, NC, United States; Peters, E., Psychology, Ohio State University, Columbus, OH, United States; Brewer, N.T., Lineberger Comprehensive Cancer Center, University of North Carolina, Chapel Hill, NC, United States, Department of Health Behavior, Gillings School of Global Public, University of North Carolina, Chapel Hill, NC, United States","Background The USA must publicly share information about harmful and potentially harmful constituents (chemicals) in tobacco products. We sought to understand whether webpages with chemical information are ""understandable and not misleading to a lay person.""Methods Participants were a national probability sample of US adults and adolescents (n=1441, 18% smokers). In an online experiment, we randomly assigned participants to view one of the developed webpages (chemical names only, names with quantity ranges, names with visual risk indicators) or no webpage in phase one (between subjects). Participants completed a survey assessing knowledge, misunderstanding, perceived likelihood, perceived severity of health effects from smoking and quit intentions (smokers only). In phase two (within subjects), participants viewed all three webpage formats and reported webpage perceptions (clarity, usability, usefulness) and perceived impact (affect, elaboration, perceived effectiveness). Results In phase one, viewing any webpage led to more knowledge of chemicals (48%-54% vs 28% no webpage, ps<0.001) and health harms (77% vs 67% no webpage, ps<0.001). When exposed to any webpage, 5%-23% endorsed misunderstandings that some cigarettes are safer than others. Webpage format did not affect knowledge or reduce misunderstandings. Viewing any webpage led to higher perceived likelihood of experiencing health effects from smoking (p<0.001) and, among smokers, greater intentions to quit smoking (p=0.04). In phase two, where participants viewed all formats, a visual risk indicator led to the highest perceived impact. Conclusions Knowledge of chemicals and health effects can increase after viewing a website. Yet, websites may not correct the misunderstanding that some cigarettes are safer. © 2020 BMJ Publishing Group. All rights reserved.","carcinogens; media; public opinion",,Article,"Final","",Scopus,2-s2.0-85071774448
"Sacco E., Vergauwen J., Gielen G.","57195265912;55988875400;35562059300;","A 16.1-bit Resolution 0.064-mm2Compact Highly Digital Closed-Loop Single-VCO-Based 1-1 Sturdy-MASH Resistance-to-Digital Converter with High Robustness in 180-nm CMOS",2020,"IEEE Journal of Solid-State Circuits","55","9", 9080533,"2456","2467",,1,"10.1109/JSSC.2020.2987692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090842640&doi=10.1109%2fJSSC.2020.2987692&partnerID=40&md5=b6d440cc41d72a90b0f78bf33c7f07f8","Department of Electrical Engineering (ESAT), Micas Laboratory, Ku Leuven, Leuven, B-3001, Belgium; Melexis Technologies Nv, Tessenderlo, B-3980, Belgium","Sacco, E., Department of Electrical Engineering (ESAT), Micas Laboratory, Ku Leuven, Leuven, B-3001, Belgium; Vergauwen, J., Melexis Technologies Nv, Tessenderlo, B-3980, Belgium; Gielen, G., Department of Electrical Engineering (ESAT), Micas Laboratory, Ku Leuven, Leuven, B-3001, Belgium","A novel direct resistive-sensor-to-digital readout circuit is presented, which achieves 16.1-bit ENOB while being very compact and robust. The highly digital time-based architecture employs a single voltage-controlled oscillator (VCO), counter, and digital feedback loop for the readout of an external single-ended highly nonlinear resistive sensor, such as an NTC thermistor. In addition to the inherent first-order noise shaping due to the oscillator, the second loop in SMASH configuration creates second-order noise shaping. Fabricated in 180-nm CMOS, the readout circuit achieves 16.1 bit of resolution for 1-ms conversion time and consumes only 171μ W, resulting in an excellent 2.4-pJ/c.s. FOMW for a resistive sensor interface while occupying only 0.064 mm 2. The specific closed-loop architecture tackles the VCO nonlinearity, achieving more than 14 bits of linearity. Multiple prototype chip samples have been measured in a temperature-controlled environment from -40 °C to 125 °C for the readout of commercial external NTC thermistors. A maximum temperature inaccuracy of 0.3 °C is achieved with only one-point trimming at room temperature. Since the circuit architecture decouples the sensor excitation from the feedback, high electromagnetic interference (EMI) immunity at the sensor node is demonstrated as well. © 1966-2012 IEEE.","Closed loop; delta-sigma modulation; digital readout circuits; first-order noise shaping; resistive sensor readout circuit; second-order noise shaping; sensor applications; sensor interface; Sturdy Multi-stAge noise SHaping (SMASH); time-based ADC; VCO-based ADC; voltage-controlled oscillator (VCO)","Circuit oscillations; CMOS integrated circuits; Electric excitation; Electromagnetic pulse; Oscillistors; Readout systems; Sensor nodes; Thermistors; Variable frequency oscillators; Circuit architectures; Closed loop architecture; Controlled environment; Digital converters; Digital feedback loop; Digital readouts; Maximum temperature; Resistive sensor; Feedback",Article,"Final","",Scopus,2-s2.0-85090842640
"Bous R.M., Kochenour N., Valiathan M.","57195226987;57218194554;7004995362;","A novel method for fabricating nasoalveolar molding appliances for infants with cleft lip and palate using 3-dimensional workflow and clear aligners",2020,"American Journal of Orthodontics and Dentofacial Orthopedics","158","3",,"452","458",,,"10.1016/j.ajodo.2020.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088214781&doi=10.1016%2fj.ajodo.2020.02.007&partnerID=40&md5=df3189c7387a5de32d352ad5968f05ff","Mt Sinai-Dr Edward Reiter Fellowship Program, Craniofacial and Special Care Orthodontics, Department of Orthodontics, School of Dental Medicine, Case Western Reserve University, Cleveland, OH, United States; James A. Lehman Jr. MD, Craniofacial Center, Akron Children's Hospital, Akron, OH, United States","Bous, R.M., Mt Sinai-Dr Edward Reiter Fellowship Program, Craniofacial and Special Care Orthodontics, Department of Orthodontics, School of Dental Medicine, Case Western Reserve University, Cleveland, OH, United States; Kochenour, N., James A. Lehman Jr. MD, Craniofacial Center, Akron Children's Hospital, Akron, OH, United States; Valiathan, M., Mt Sinai-Dr Edward Reiter Fellowship Program, Craniofacial and Special Care Orthodontics, Department of Orthodontics, School of Dental Medicine, Case Western Reserve University, Cleveland, OH, United States","Introduction: Nasoalveolar molding (NAM) was introduced over 20 years ago as adjunctive therapy for the correction of cleft lip and palate. In the current study, we propose a new approach using a digital workflow and 3-dimensional printing to fabricate clear aligner NAM devices. Methods: A polyvinyl siloxane (PVS) impression of an infant with a unilateral complete cleft lip and palate (UCLP) is acquired and poured, and the stone model is scanned with an intraoral scanner. The stereolithography file is digitized, and the alveolar segments are digitally segmented and moved to the desired final position. The total distance moved is divided into a sequence of 1-1.5 mm increments, creating a series of digital models. The models are 3-dimensionally printed along with button templates to allow free form positioning of the button on each model. A Vacuform machine (Taglus, Mumbai, India) was used to fabricate a 0.040-in aligner for each stage. Results: We present 1 case that was treated successfully with this approach. Appointments for the NAM adjustments were primarily to monitor progress and counseling with less time spent adjusting the appliance. The appointment length was reduced by over 30 minutes. Benefits of the aligner are improved fit, more precise increments of activation, reduced chairside time, and potentially minimized number of visits. Conclusions: NAM custom aligners may provide similar benefits to the traditional approach while reducing the burden of care by reducing the number of visits and appointment duration. Further studies with a sample and longitudinal observations are needed to investigate the benefits of the proposed digital approach. © 2020 American Association of Orthodontists",,"cleft lip; cleft palate; human; India; infant; nose; preoperative care; removable orthodontic appliance; workflow; Cleft Lip; Cleft Palate; Humans; India; Infant; Nose; Orthodontic Appliances, Removable; Preoperative Care; Workflow",Article,"Final","",Scopus,2-s2.0-85088214781
